date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:19	4131/4131	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Feb%202019%2013:39:20%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/files/Site-LOGO-NEw_220x.jpg?v=1520619383	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/files/Site-LOGO-NEw_220x7c16.jpg	(from https://bouquetbar.com/)
20:39:24	16675/16675	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Feb%202019%2007:15:04%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/free-shipping-icon-large.png?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/free-shipping-icon-large8f03.png	(from https://bouquetbar.com/)
20:39:24	647279/647279	---MCZ	200	added ('OK')	text/html	etag:cacheable:ebc5fc66e7c6c2791631df6fb5e19923	https://bouquetbar.com/collections/mixology-bar	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/collections/mixology-bar.html	(from https://bouquetbar.com/)
20:39:26	200919/200919	---MCZ	200	added ('OK')	text/html	etag:cacheable:479174a1134c6a6a70d59609be0481f0	https://bouquetbar.com/collections/house-specials	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/collections/house-specials.html	(from https://bouquetbar.com/)
20:39:29	178175/178175	---MCZ	200	added ('OK')	text/html	etag:cacheable:95cb9af884f005aa17a9dde03014f40b	https://bouquetbar.com/pages/boardroom	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/pages/boardroom.html	(from https://bouquetbar.com/)
20:39:29	194046/194046	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Feb%202019%2019:22:06%20GMT	http://cdn.shopify.com/s/assets/storefront/express_buttons-0c1cfe6b3642c86bb980ad0b298dbf9f7c06a27102426a601fd5bda32a4c5cfd.js	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/assets/storefront/express_buttons-0c1cfe6b3642c86bb980ad0b298dbf9f7c06a27102426a601fd5bda32a4c5cfd.js	(from https://bouquetbar.com/)
20:39:29	178818/178818	---MCZ	200	added ('OK')	text/html	etag:cacheable:8695e55898653d4c6c8d1868c37acc8e	https://bouquetbar.com/pages/about-us	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/pages/about-us.html	(from https://bouquetbar.com/)
20:39:29	212986/212986	---MCZ	200	added ('OK')	text/html	etag:cacheable:fa6dcd98bc35be1d7f66998cb9cd3ac9	https://bouquetbar.com/pages/faq	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/pages/faq.html	(from https://bouquetbar.com/)
20:39:34	176479/176479	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Feb%202019%2013:39:31%20GMT	https://bouquetbar.com/account/login	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/account/login.html	(from https://bouquetbar.com/)
20:39:37	206416/206416	---MCZ	200	added ('OK')	text/html	etag:cacheable:a2abce7c985610c475f9088a8f4c6365	https://bouquetbar.com/products/get-well	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/products/get-well.html	(from https://bouquetbar.com/)
